,type,year,tuition_type,tuition_cost,tuition_2,avg_tuition,1_year_change_tuition,total_change_tuition,cpi,1_year_change_cpi,total_change_cpi
46,Public,2000-01,4 Year Current,8653,8653,8653,23.367550613059596,4794.0,172.2,3.361344537815114,60.03717472118959
47,Public,2000-01,2 Year Current,4839,4839,4839,14.749822148446757,1858.0,172.2,3.361344537815114,60.03717472118959
48,Private,2000-01,All Constant,29621,30916,30268,9.595191541748127,10023.0,172.2,3.361344537815114,60.03717472118959
49,Private,2000-01,4 Year Constant,30290,31614,30952,9.506456748629045,9924.0,172.2,3.361344537815114,60.03717472118959
50,Private,2000-01,2 Year Constant,20660,21563,21111,13.756870352408669,6273.0,172.2,3.361344537815114,60.03717472118959
51,Private,2000-01,All Current,21373,21373,21373,24.20385867038586,12488.0,172.2,3.361344537815114,60.03717472118959
52,Private,2000-01,4 Year Current,21856,21856,21856,24.097206450147635,11928.0,172.2,3.361344537815114,60.03717472118959
53,Private,2000-01,2 Year Current,14907,14907,14907,28.919830493816477,8395.0,172.2,3.361344537815114,60.03717472118959
54,All Institutions,2001-02,All Constant,15497,16175,15836,3.347908373034003,4705.0,177.1,2.8455284552845628,64.59107806691449
55,All Institutions,2001-02,4 Year Constant,18573,19386,18979,3.7103825136612034,6437.0,177.1,2.8455284552845628,64.59107806691449
56,All Institutions,2001-02,2 Year Constant,7786,8127,7956,2.7774189381216896,284.0,177.1,2.8455284552845628,64.59107806691449
57,All Institutions,2001-02,All Current,11380,11380,11380,5.175600739371533,6495.0,177.1,2.8455284552845628,64.59107806691449
58,All Institutions,2001-02,4 Year Current,13639,13639,13639,5.548676675437236,8135.0,177.1,2.8455284552845628,64.59107806691449
59,All Institutions,2001-02,2 Year Current,5718,5718,5718,4.610318331503849,2351.0,177.1,2.8455284552845628,64.59107806691449
60,Public,2001-02,All Constant,10924,11401,11162,3.9002140928976914,3024.0,177.1,2.8455284552845628,64.59107806691449
61,Public,2001-02,4 Year Constant,12523,13071,12797,4.422684618523043,4005.0,177.1,2.8455284552845628,64.59107806691449
62,Public,2001-02,2 Year Constant,6996,7302,7149,4.319276229388591,357.0,177.1,2.8455284552845628,64.59107806691449
63,Public,2001-02,All Current,8022,8022,8022,5.747429475349319,4451.0,177.1,2.8455284552845628,64.59107806691449
64,Public,2001-02,4 Year Current,9196,9196,9196,6.275280249624404,5337.0,177.1,2.8455284552845628,64.59107806691449
65,Public,2001-02,2 Year Current,5137,5137,5137,6.158297168836535,2156.0,177.1,2.8455284552845628,64.59107806691449
66,Private,2001-02,All Constant,30522,31857,31189,3.042817497026573,10944.0,177.1,2.8455284552845628,64.59107806691449
67,Private,2001-02,4 Year Constant,31179,32542,31860,2.933574567071595,10832.0,177.1,2.8455284552845628,64.59107806691449
68,Private,2001-02,2 Year Constant,21550,22493,22021,4.310549002889497,7183.0,177.1,2.8455284552845628,64.59107806691449
69,Private,2001-02,All Current,22413,22413,22413,4.865952369812376,13528.0,177.1,2.8455284552845628,64.59107806691449
